work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category,annual_taxes
2023,Senior,Full-time,Data Quality Analyst,82000,USD,82000,United States,In-person,United States,M,Data Quality and Operations,18281.433868663706
2023,Executive,Full-time,Data Analyst,80000,USD,80000,United States,In-person,United States,M,Data Analysis,13809.832056780791
2023,Executive,Full-time,Data Analyst,70000,USD,70000,United States,In-person,United States,M,Data Analysis,14851.313209899696
2023,Senior,Full-time,Business Intelligence Engineer,155000,USD,155000,United States,Remote,United States,M,BI and Visualization,29356.70608923931
2023,Senior,Full-time,Business Intelligence Engineer,130000,USD,130000,United States,Remote,United States,M,BI and Visualization,24415.417311617603
2023,Senior,Full-time,Data Analyst,169000,USD,169000,United States,In-person,United States,M,Data Analysis,37390.95411574119
2023,Senior,Full-time,Data Analyst,110600,USD,110600,United States,In-person,United States,M,Data Analysis,22031.188602326685
2023,Senior,Full-time,Data Scientist,190000,USD,190000,United States,In-person,United States,M,Data Science and Research,36949.5999422606
2023,Senior,Full-time,Data Scientist,150000,USD,150000,United States,In-person,United States,M,Data Science and Research,34732.678044595705
2023,Senior,Full-time,Data Scientist,154700,USD,154700,United States,In-person,United States,M,Data Science and Research,31755.83223055267
2023,Senior,Full-time,Data Scientist,118900,USD,118900,United States,In-person,United States,M,Data Science and Research,26793.023907541807
2023,Senior,Full-time,Data Engineer,232960,USD,232960,United States,In-person,United States,M,Data Engineering,52111.978363614326
2023,Senior,Full-time,Data Engineer,166400,USD,166400,United States,In-person,United States,M,Data Engineering,35278.40014180485
2023,Mid-level,Full-time,Data Scientist,156000,USD,156000,United States,In-person,United States,M,Data Science and Research,33267.81300444529
2023,Mid-level,Full-time,Data Scientist,105000,USD,105000,United States,In-person,United States,M,Data Science and Research,18977.445072331317
2023,Senior,Full-time,Machine Learning Engineer,193000,USD,193000,Canada,Remote,Canada,M,Machine Learning and AI,38348.391422533045
2023,Senior,Full-time,Machine Learning Engineer,143000,USD,143000,Canada,Remote,Canada,M,Machine Learning and AI,29734.095497758935
2023,Senior,Full-time,Data Engineer,190000,USD,190000,United States,In-person,United States,M,Data Engineering,42653.973166066986
2023,Senior,Full-time,Data Engineer,140000,USD,140000,United States,In-person,United States,M,Data Engineering,23529.347115193163
2023,Senior,Full-time,Data Analyst,138860,USD,138860,United States,In-person,United States,M,Data Analysis,25227.66243869122
2023,Senior,Full-time,Data Analyst,119610,USD,119610,United States,In-person,United States,M,Data Analysis,28842.50147643422
2023,Senior,Full-time,Data Scientist,205485,USD,205485,United States,In-person,United States,M,Data Science and Research,41838.47089934186
2023,Senior,Full-time,Data Scientist,156560,USD,156560,United States,In-person,United States,M,Data Science and Research,31103.119999590068
2023,Mid-level,Full-time,Data Scientist,230000,USD,230000,United States,In-person,United States,M,Data Science and Research,45869.57169298092
